_id,name,building,wkt_geom
406,conference_room2,ismb,"Polygon ((7.6589952131425898 45.06542839731867645, 7.6590076876632347 45.06544679195081216, 7.65906519731773194 45.06542638870943307, 7.6590525113645338 45.06540957982144846, 7.6589952131425898 45.06542839731867645))"
407,office,ismb,"Polygon ((7.65895387807841743 45.06548231261979964, 7.65896994695246836 45.06550440732161888, 7.65900250756567758 45.06549415284278126, 7.65898601582651928 45.06547100097819936, 7.65895387807841743 45.06548231261979964))"
408,ext_office4,ismb,"Polygon ((7.65898707298928461 45.06547057811309287, 7.65900314186333553 45.06549372997768188, 7.65903638963234457 45.06548289405931484, 7.6590200564676012 45.06546005934355037, 7.65898707298928461 45.06547057811309287))"
409,ext_office5,ismb,"Polygon ((7.65902095505595248 45.06545968933659196, 7.65903728822069851 45.06548236547793351, 7.65906947882693956 45.06547226957351882, 7.65905251136453469 45.06544858912754847, 7.65902095505595248 45.06545968933659196))"
410,conference_room3,ismb,"Polygon ((7.6590631358503396 45.06549906864970723, 7.65908512483588488 45.0655278499060401, 7.65912001120718067 45.06551548110167715, 7.65909907938440337 45.06548662055814702, 7.6590631358503396 45.06549906864970723))"
411,conference_room4,ismb,"Polygon ((7.65912043407228804 45.06551606254121367, 7.65908528341029982 45.06552816705490017, 7.65910610951680049 45.06555649901703475, 7.65914099588809716 45.06554455307777118, 7.65912043407228804 45.06551606254121367))"
412,multi_room,ismb,"Polygon ((7.65898490580561919 45.06556189054717265, 7.65901683212117312 45.06560650281595315, 7.65910552807728173 45.06557653225151938, 7.65909374071243487 45.06556014622863415, 7.65910135228435429 45.06555665759150031, 7.6590808961848218 45.06552948850838902, 7.65898490580561919 45.06556189054717265))"
413,warehouse3,ismb,"Polygon ((7.65913169285575179 45.06559228397673422, 7.65914474881591989 45.06561147148095614, 7.65918513243360088 45.06559762264871694, 7.6591702264385928 45.06557912230029928, 7.65913169285575179 45.06559228397673422))"
414,warehouse4,ismb,"Polygon ((7.65918587244753724 45.06559941982541773, 7.65914601741123935 45.06561316294138209, 7.6591736093594438 45.06565137937538168, 7.65919755409610747 45.06564286921513229, 7.65920051415185377 45.06564646356854098, 7.65921510299803199 45.06564054345704307, 7.65918587244753724 45.06559941982541773))"
415,research_lab21,ismb,"Polygon ((7.65908760916838904 45.06570450180440446, 7.65910589808424991 45.06572966227825106, 7.65911551826542514 45.06572638507367401, 7.65913169285575357 45.06570925903685776, 7.65912069836298137 45.06569329587908612, 7.65908760916838904 45.06570450180440446))"
416,research_lab22,ismb,"Polygon ((7.65919935127281537 45.06568795720717446, 7.65923555909757425 45.06573817243859281, 7.65930670615175835 45.06571549629724416, 7.65925670235290035 45.06564593498720228, 7.65922197455601861 45.06565772235205003, 7.65923487194177 45.06567537697025472, 7.65919935127281537 45.06568795720717446))"
417,maintenance3,ismb,"Polygon ((7.65922689036288951 45.06574414540821749, 7.65923688055103558 45.06575788852418896, 7.6592922230218603 45.06573933531763743, 7.65928202140116277 45.06572469361331912, 7.65922689036288951 45.06574414540821749))"
418,warehouse5,ismb,"Polygon ((7.65928514003132754 45.06572374216681709, 7.65929449592181211 45.06573801386416278, 7.65931722492129285 45.06573082515735251, 7.65930670615176457 45.06571618345304131, 7.65928514003132754 45.06572374216681709))"
